"main_artist","avg_popularity","total_songs"
"Olivia Rodrigo",87.4,5
"One Direction",83,5
"Lil Nas X",82.75,8
"Eminem",82.7272727272727,11
"M̴neskin",82.6,5
"Drake",81.8,5
"Rauw Alejandro",81,8
"Bad Bunny",80.6190476190476,42
"Ariana Grande",80.1428571428571,14
"Camila Cabello",79.8,5
"Mitski",78.3333333333333,6
"Shubh",77.8,5
"Clairo",75.2857142857143,7
"Dr. Dre",75.2857142857143,7
"Maluma",74.8181818181818,11
"Rvfv",74.6,5
"Labrinth",74.4444444444444,9
"Frank Ocean",74.25,20
"Travis Scott",74.1052631578947,19
"Limp Bizkit",73.8333333333333,6
